2024-08-23 11:12:16,605 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/media/sf_Own_UCI/apache-activemq-5.18.5/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2024-08-23 11:12:16,618 | INFO  | Starting Persistence Adapter: KahaDBPersistenceAdapter[/media/sf_Own_UCI/apache-activemq-5.18.5/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2024-08-23 11:12:16,648 | INFO  | Starting KahaDBStore | org.apache.activemq.store.kahadb.KahaDBStore | main
2024-08-23 11:12:16,649 | INFO  | Opening MessageDatabase | org.apache.activemq.store.kahadb.MessageDatabase | main
2024-08-23 11:12:17,104 | INFO  | Starting Temp Data Store | org.apache.activemq.broker.BrokerService | main
2024-08-23 11:12:17,106 | INFO  | PListStore:[/media/sf_Own_UCI/apache-activemq-5.18.5/data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2024-08-23 11:12:17,108 | INFO  | Starting Job Scheduler Store | org.apache.activemq.broker.BrokerService | main
2024-08-23 11:12:17,108 | INFO  | Persistence Adapter successfully started | org.apache.activemq.broker.BrokerService | main
2024-08-23 11:12:17,315 | INFO  | Apache ActiveMQ 5.18.5 (localhost, ID:s-VirtualBox-39337-1724429537158-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2024-08-23 11:12:17,346 | INFO  | Listening for connections at: tcp://s-VirtualBox:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2024-08-23 11:12:17,349 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2024-08-23 11:12:17,355 | INFO  | Listening for connections at: amqp://s-VirtualBox:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2024-08-23 11:12:17,356 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2024-08-23 11:12:17,365 | INFO  | Listening for connections at: stomp://s-VirtualBox:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2024-08-23 11:12:17,366 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2024-08-23 11:12:17,380 | INFO  | Listening for connections at: mqtt://s-VirtualBox:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2024-08-23 11:12:17,381 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2024-08-23 11:12:17,385 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | main
2024-08-23 11:12:17,436 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | main
